Element;AtomicNumber;Symbol;AtomicMass;NumberofNeutrons;Period;Group;Phase;Type;Electronegativity
Hydrogen;1;H;1.007;0;1;1;gas;Nonmetal;2.2
Helium;2;He;4.002;2;1;18;gas;Nonmetal;
Lithium;3;Li;6.941;4;2;1;solid;Metal;0.98
Beryllium;4;Be;9.012;5;2;2;solid;Metal;1.57
Boron;5;B;10.811;6;2;13;solid;Metalloid;2.04
Carbon;6;C;12.011;6;2;14;solid;Nonmetal;2.55
Nitrogen;7;N;14.007;7;2;15;gas;Nonmetal;3.04
Oxygen;8;O;15.999;8;2;16;gas;Nonmetal;3.44
Fluorine;9;F;18.998;10;2;17;gas;Nonmetal;3.98
Neon;10;Ne;20.18;10;2;18;gas;Nonmetal;
Sodium;11;Na;22.99;12;3;1;solid;Metal;0.93
Magnesium;12;Mg;24.305;12;3;2;solid;Metal;1.31
Aluminum;13;Al;26.982;14;3;13;solid;Metal;1.61
Silicon;14;Si;28.086;14;3;14;solid;Metalloid;1.9
Phosphorus;15;P;30.974;16;3;15;solid;Nonmetal;2.19
Sulfur;16;S;32.065;16;3;16;solid;Nonmetal;2.58
Chlorine;17;Cl;35.453;18;3;17;gas;Nonmetal;3.16
Argon;18;Ar;39.948;22;3;18;gas;Nonmetal;
Potassium;19;K;39.098;20;4;1;solid;Metal;0.82
Calcium;20;Ca;40.078;20;4;2;solid;Metal;1
Scandium;21;Sc;44.956;24;4;3;solid;Metal;1.36
Titanium;22;Ti;47.867;26;4;4;solid;Metal;1.54
Vanadium;23;V;50.942;28;4;5;solid;Metal;1.63
Chromium;24;Cr;51.996;28;4;6;solid;Metal;1.66
Manganese;25;Mn;54.938;30;4;7;solid;Metal;1.55
Iron;26;Fe;55.845;30;4;8;solid;Metal;1.83
Cobalt;27;Co;58.933;32;4;9;solid;Metal;1.88
Nickel;28;Ni;58.693;31;4;10;solid;Metal;1.91
Copper;29;Cu;63.546;35;4;11;solid;Metal;1.9
Zinc;30;Zn;65.38;35;4;12;solid;Metal;1.65
Gallium;31;Ga;69.723;39;4;13;solid;Metal;1.81
Germanium;32;Ge;72.64;41;4;14;solid;Metalloid;2.01
Arsenic;33;As;74.922;42;4;15;solid;Metalloid;2.18
Selenium;34;Se;78.96;45;4;16;solid;Nonmetal;2.55
Bromine;35;Br;79.904;45;4;17;liq;Nonmetal;2.96
Krypton;36;Kr;83.798;48;4;18;gas;Nonmetal;
Rubidium;37;Rb;85.468;48;5;1;solid;Metal;0.82
Strontium;38;Sr;87.62;50;5;2;solid;Metal;0.95
Yttrium;39;Y;88.906;50;5;3;solid;Metal;1.22
Zirconium;40;Zr;91.224;51;5;4;solid;Metal;1.33
Niobium;41;Nb;92.906;52;5;5;solid;Metal;1.6
Molybdenum;42;Mo;95.96;54;5;6;solid;Metal;2.16
Technetium;43;Tc;98;55;5;7;artificial;Metal;1.9
Ruthenium;44;Ru;101.07;57;5;8;solid;Metal;2.2
Rhodium;45;Rh;102.906;58;5;9;solid;Metal;2.28
Palladium;46;Pd;106.42;60;5;10;solid;Metal;2.2
Silver;47;Ag;107.868;61;5;11;solid;Metal;1.93
Cadmium;48;Cd;112.411;64;5;12;solid;Metal;1.69
Indium;49;In;114.818;66;5;13;solid;Metal;1.78
Tin;50;Sn;118.71;69;5;14;solid;Metal;1.96
Antimony;51;Sb;121.76;71;5;15;solid;Metalloid;2.05
